56 fichiers charges, 1540 paires a comparer


--- Paires MEME SUJET (ordre croissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
hyp_per_s16            | hyp_per_s8             |    881 |    882 |    17.9% |      766
hyp_jbe_s11            | hyp_per_s23            |   1055 |    949 |    17.9% |      727
hyp_per_s22            | hyp_per_s9             |    850 |    993 |    17.7% |      746
hyp_jbe_s4             | hyp_per_s9             |    721 |    993 |    17.6% |      601
hyp_jbe_s4             | hyp_per_s11            |    721 |   1055 |    17.6% |      575
hyp_jbe_s35            | hyp_per_s27            |    994 |   1097 |    17.5% |      559
hyp_per_s27            | hyp_per_s35            |   1097 |    994 |    17.5% |      635
hyp_per_s23            | hyp_per_s9             |    949 |    993 |    17.5% |      807
hyp_jbe_s29            | hyp_per_s9             |    999 |    993 |    17.5% |      830
hyp_per_s2             | hyp_per_s8             |    818 |    882 |    17.4% |      734
hyp_jbe_s26            | hyp_per_s31            |    944 |   1127 |    17.4% |      769
hyp_jbe_s2             | hyp_jbe_s25            |    818 |   1072 |    17.4% |      620
hyp_jbe_s1             | hyp_per_s17            |    947 |    926 |    17.2% |      482
hyp_per_s22            | hyp_per_s4             |    850 |    721 |    17.2% |      634
hyp_jbe_s14            | hyp_jbe_s18            |    811 |    859 |    17.2% |      640
hyp_jbe_s10            | hyp_per_s7             |    852 |    896 |    17.0% |      763
hyp_jbe_s35            | hyp_per_s8             |    994 |    882 |    16.8% |      661
hyp_jbe_s11            | hyp_jbe_s4             |   1055 |    721 |    16.8% |      542
hyp_jbe_s18            | hyp_per_s35            |    859 |    994 |    16.8% |      685
hyp_jbe_s33            | hyp_per_s13            |    935 |    922 |    16.8% |      727
hyp_per_s36            | hyp_per_s5             |    950 |   1080 |    16.8% |      799
hyp_per_s24            | hyp_per_s36            |   1340 |    950 |    16.8% |      752
hyp_jbe_s2             | hyp_per_s17            |    818 |    926 |    16.7% |      682
hyp_per_s26            | hyp_per_s31            |    944 |   1127 |    16.7% |      838
hyp_per_s20            | hyp_per_s7             |    910 |    896 |    16.6% |      789
hyp_jbe_s35            | hyp_per_s18            |    994 |    859 |    16.6% |      628
hyp_per_s10            | hyp_per_s7             |    852 |    896 |    16.6% |      755
hyp_per_s38            | hyp_per_s4             |   1061 |    721 |    16.5% |      541
hyp_per_s21            | hyp_per_s27            |    905 |   1097 |    16.4% |      670
hyp_per_s12            | hyp_per_s8             |    948 |    882 |    16.4% |      774
hyp_jbe_s18            | hyp_per_s14            |    859 |    811 |    16.4% |      635
hyp_per_s19            | hyp_per_s9             |    999 |    993 |    16.3% |      851
hyp_per_s29            | hyp_per_s9             |    999 |    993 |    16.3% |      851
hyp_per_s11            | hyp_per_s4             |   1055 |    721 |    16.3% |      594
hyp_jbe_s25            | hyp_per_s2             |   1072 |    818 |    16.3% |      650
hyp_per_s14            | hyp_per_s20            |    811 |    910 |    16.3% |      683
hyp_per_s12            | hyp_per_s13            |    948 |    922 |    16.3% |      763
hyp_per_s14            | hyp_per_s36            |    811 |    950 |    16.2% |      665
hyp_per_s1             | hyp_per_s36            |    947 |    950 |    16.2% |      727
hyp_per_s13            | hyp_per_s3             |    922 |    944 |    16.2% |      767
hyp_jbe_s37            | hyp_per_s24            |    774 |   1340 |    16.2% |      526
hyp_jbe_s19            | hyp_jbe_s2             |    809 |    818 |    16.1% |      626
hyp_per_s13            | hyp_per_s33            |    922 |    935 |    16.1% |      763
hyp_per_s11            | hyp_per_s7             |   1055 |    896 |    16.1% |      770
hyp_per_s24            | hyp_per_s34            |   1340 |   1003 |    16.1% |      796
hyp_jbe_s14            | hyp_per_s20            |    811 |    910 |    16.1% |      679
hyp_jbe_s4             | hyp_per_s22            |    721 |    850 |    16.0% |      617
hyp_per_s20            | hyp_per_s28            |    910 |    892 |    16.0% |      774
hyp_per_s23            | hyp_per_s38            |    949 |   1061 |    16.0% |      726
hyp_per_s13            | hyp_per_s9             |    922 |    993 |    16.0% |      758
hyp_jbe_s23            | hyp_per_s15            |    949 |    879 |    15.9% |      716
hyp_per_s7             | hyp_per_s8             |    896 |    882 |    15.9% |      786
hyp_per_s35            | hyp_per_s8             |    994 |    882 |    15.9% |      761
hyp_per_s12            | hyp_per_s17            |    948 |    926 |    15.8% |      802
hyp_per_s1             | hyp_per_s8             |    947 |    882 |    15.8% |      691
hyp_per_s13            | hyp_per_s27            |    922 |   1097 |    15.7% |      617
hyp_jbe_s1             | hyp_per_s27            |    947 |   1097 |    15.7% |      421
hyp_jbe_s2             | hyp_per_s8             |    818 |    882 |    15.7% |      696
hyp_per_s15            | hyp_per_s23            |    879 |    949 |    15.6% |      782
hyp_per_s27            | hyp_per_s8             |   1097 |    882 |    15.6% |      654
hyp_jbe_s11            | hyp_per_s4             |   1055 |    721 |    15.5% |      561
hyp_per_s1             | hyp_per_s27            |    947 |   1097 |    15.5% |      569
hyp_jbe_s14            | hyp_per_s18            |    811 |    859 |    15.4% |      663
hyp_jbe_s19            | hyp_per_s36            |    809 |    950 |    15.4% |      638
hyp_per_s24            | hyp_per_s37            |   1340 |    774 |    15.3% |      606
hyp_jbe_s32            | hyp_per_s8             |    984 |    882 |    15.3% |      640
hyp_per_s3             | hyp_per_s7             |    944 |    896 |    15.2% |      795
hyp_per_s22            | hyp_per_s8             |    850 |    882 |    15.2% |      756
hyp_jbe_s4             | hyp_per_s38            |    721 |   1061 |    15.2% |      527
hyp_per_s27            | hyp_per_s28            |   1097 |    892 |    15.2% |      640
hyp_per_s15            | hyp_per_s8             |    879 |    882 |    15.1% |      779
hyp_per_s22            | hyp_per_s27            |    850 |   1097 |    15.1% |      664
hyp_per_s32            | hyp_per_s8             |    984 |    882 |    15.1% |      744
hyp_per_s12            | hyp_per_s4             |    948 |    721 |    15.0% |      607
hyp_per_s10            | hyp_per_s24            |    852 |   1340 |    15.0% |      688
hyp_per_s17            | hyp_per_s27            |    926 |   1097 |    14.9% |      643
hyp_jbe_s14            | hyp_per_s36            |    811 |    950 |    14.8% |      674
hyp_jbe_s19            | hyp_per_s2             |    809 |    818 |    14.8% |      662
hyp_jbe_s1             | hyp_per_s24            |    947 |   1340 |    14.7% |      449
hyp_per_s15            | hyp_per_s6             |    879 |    814 |    14.4% |      723
hyp_per_s14            | hyp_per_s18            |    811 |    859 |    14.3% |      658
hyp_jbe_s25            | hyp_per_s24            |   1072 |   1340 |    14.1% |      775
hyp_jbe_s10            | hyp_per_s24            |    852 |   1340 |    14.1% |      690
hyp_per_s23            | hyp_per_s33            |    949 |    935 |    14.0% |      805
hyp_per_s18            | hyp_per_s35            |    859 |    994 |    13.9% |      714
hyp_jbe_s23            | hyp_per_s33            |    949 |    935 |    13.7% |      745
hyp_jbe_s6             | hyp_per_s15            |    814 |    879 |    13.6% |      697
hyp_jbe_s33            | hyp_per_s23            |    935 |    949 |    13.5% |      769
hyp_jbe_s4             | hyp_per_s12            |    721 |    948 |    13.4% |      589
hyp_per_s10            | hyp_per_s2             |    852 |    818 |    13.4% |      731
hyp_jbe_s23            | hyp_jbe_s33            |    949 |    935 |    13.3% |      708
hyp_per_s1             | hyp_per_s28            |    947 |    892 |    13.2% |      687
hyp_jbe_s29            | hyp_per_s24            |    999 |   1340 |    13.1% |      781
hyp_jbe_s2             | hyp_per_s15            |    818 |    879 |    13.0% |      692
hyp_jbe_s23            | hyp_per_s27            |    949 |   1097 |    12.8% |      617
hyp_per_s15            | hyp_per_s28            |    879 |    892 |    12.7% |      755
hyp_jbe_s10            | hyp_per_s2             |    852 |    818 |    12.6% |      736
hyp_per_s11            | hyp_per_s13            |   1055 |    922 |    12.6% |      753
hyp_per_s15            | hyp_per_s17            |    879 |    926 |    12.6% |      763
hyp_jbe_s11            | hyp_per_s13            |   1055 |    922 |    12.6% |      701
hyp_jbe_s2             | hyp_per_s10            |    818 |    852 |    12.4% |      692
hyp_jbe_s29            | hyp_per_s27            |    999 |   1097 |    12.1% |      621
hyp_per_s19            | hyp_per_s27            |    999 |   1097 |    11.9% |      640
hyp_per_s27            | hyp_per_s29            |   1097 |    999 |    11.9% |      640
hyp_per_s15            | hyp_per_s2             |    879 |    818 |    11.8% |      731
hyp_per_s19            | hyp_per_s24            |    999 |   1340 |    11.6% |      793
hyp_per_s24            | hyp_per_s29            |   1340 |    999 |    11.6% |      793
hyp_jbe_s10            | hyp_jbe_s2             |    852 |    818 |    11.2% |      696
hyp_per_s14            | hyp_per_s27            |    811 |   1097 |    11.0% |      627
hyp_per_s27            | hyp_per_s5             |   1097 |   1080 |    10.9% |      633
hyp_jbe_s19            | hyp_per_s24            |    809 |   1340 |    10.9% |      597
hyp_jbe_s19            | hyp_per_s27            |    809 |   1097 |    10.9% |      617
hyp_jbe_s14            | hyp_per_s27            |    811 |   1097 |    10.8% |      622
hyp_jbe_s33            | hyp_per_s8             |    935 |    882 |     9.1% |      736
hyp_per_s33            | hyp_per_s8             |    935 |    882 |     9.1% |      772
