56 fichiers charges, 1540 paires a comparer


--- Paires MEME SUJET (ordre croissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
hyp_jbe_s16            | hyp_per_s29            |    881 |    999 |    35.1% |      729
hyp_jbe_s14            | hyp_per_s34            |    811 |   1003 |    35.1% |      692
hyp_jbe_s1             | hyp_per_s38            |    947 |   1061 |    35.1% |      453
hyp_per_s28            | hyp_per_s5             |    892 |   1080 |    35.1% |      755
hyp_jbe_s18            | hyp_jbe_s26            |    859 |    944 |    35.1% |      661
hyp_per_s2             | hyp_per_s23            |    818 |    949 |    35.1% |      744
hyp_jbe_s10            | hyp_jbe_s11            |    852 |   1055 |    35.1% |      679
hyp_jbe_s33            | hyp_per_s6             |    935 |    814 |    35.0% |      675
hyp_jbe_s10            | hyp_per_s8             |    852 |    882 |    34.9% |      767
hyp_per_s14            | hyp_per_s6             |    811 |    814 |    34.9% |      687
hyp_jbe_s25            | hyp_per_s9             |   1072 |    993 |    34.9% |      773
hyp_per_s32            | hyp_per_s36            |    984 |    950 |    34.9% |      782
hyp_jbe_s37            | hyp_per_s19            |    774 |    999 |    34.9% |      573
hyp_jbe_s37            | hyp_per_s29            |    774 |    999 |    34.9% |      573
hyp_jbe_s6             | hyp_per_s23            |    814 |    949 |    34.8% |      706
hyp_jbe_s14            | hyp_per_s38            |    811 |   1061 |    34.8% |      597
hyp_jbe_s14            | hyp_per_s19            |    811 |    999 |    34.8% |      672
hyp_jbe_s14            | hyp_per_s29            |    811 |    999 |    34.8% |      672
hyp_per_s10            | hyp_per_s11            |    852 |   1055 |    34.8% |      725
hyp_per_s22            | hyp_per_s35            |    850 |    994 |    34.7% |      734
hyp_per_s30            | hyp_per_s32            |    938 |    984 |    34.7% |      812
hyp_jbe_s19            | hyp_per_s33            |    809 |    935 |    34.7% |      651
hyp_jbe_s19            | hyp_per_s21            |    809 |    905 |    34.7% |      680
hyp_per_s34            | hyp_per_s9             |   1003 |    993 |    34.7% |      856
hyp_jbe_s23            | hyp_per_s2             |    949 |    818 |    34.6% |      679
hyp_jbe_s14            | hyp_per_s7             |    811 |    896 |    34.6% |      694
hyp_per_s17            | hyp_per_s4             |    926 |    721 |    34.6% |      616
hyp_jbe_s32            | hyp_per_s25            |    984 |   1072 |    34.6% |      657
hyp_per_s10            | hyp_per_s30            |    852 |    938 |    34.5% |      773
hyp_jbe_s32            | hyp_per_s5             |    984 |   1080 |    34.5% |      684
hyp_jbe_s6             | hyp_per_s14            |    814 |    811 |    34.5% |      667
hyp_per_s21            | hyp_per_s31            |    905 |   1127 |    34.5% |      804
hyp_jbe_s29            | hyp_per_s21            |    999 |    905 |    34.4% |      787
hyp_jbe_s18            | hyp_jbe_s37            |    859 |    774 |    34.4% |      538
hyp_per_s26            | hyp_per_s6             |    944 |    814 |    34.4% |      739
hyp_jbe_s2             | hyp_per_s23            |    818 |    949 |    34.4% |      707
hyp_jbe_s25            | hyp_per_s11            |   1072 |   1055 |    34.3% |      801
hyp_per_s25            | hyp_per_s31            |   1072 |   1127 |    34.3% |      871
hyp_per_s20            | hyp_per_s38            |    910 |   1061 |    34.3% |      708
hyp_jbe_s19            | hyp_per_s12            |    809 |    948 |    34.3% |      650
hyp_per_s18            | hyp_per_s28            |    859 |    892 |    34.3% |      723
hyp_jbe_s26            | hyp_per_s18            |    944 |    859 |    34.2% |      681
hyp_jbe_s29            | hyp_per_s14            |    999 |    811 |    34.2% |      658
hyp_jbe_s11            | hyp_jbe_s33            |   1055 |    935 |    34.2% |      702
hyp_jbe_s11            | hyp_per_s31            |   1055 |   1127 |    34.2% |      828
hyp_jbe_s11            | hyp_jbe_s19            |   1055 |    809 |    34.2% |      597
hyp_per_s33            | hyp_per_s37            |    935 |    774 |    34.1% |      656
hyp_per_s18            | hyp_per_s8             |    859 |    882 |    34.1% |      741
hyp_per_s33            | hyp_per_s6             |    935 |    814 |    34.1% |      706
hyp_jbe_s25            | hyp_jbe_s32            |   1072 |    984 |    34.1% |      625
hyp_jbe_s16            | hyp_per_s1             |    881 |    947 |    34.1% |      640
hyp_per_s30            | hyp_per_s9             |    938 |    993 |    34.0% |      843
hyp_jbe_s19            | hyp_jbe_s26            |    809 |    944 |    34.0% |      614
hyp_jbe_s18            | hyp_per_s23            |    859 |    949 |    34.0% |      720
